id,name,country,continent,city,funFact,photoUrl,photographer,photographerUrl
0,eiffel tower,France,EU,"Champ de Mars, Paris","The Eiffel Tower has been repainted various colors over the years including reddish-brown, bright yellow, and a special shade called 'Eiffel Tower Brown'.",,,
1,great wall of china,China,AS,Huairou District,The construction of the Great Wall took over 2 thousand years!,,,
2,kremlin,Russia,EU,Moscow,The Kremlin is home to the world's largest bell AND the world's largest cannon!,,,
3,leaning tower of pisa,Italy,EU,"Piazza del Duomo, Pisa",Unstable-looking Pisa tower has survived 4 known earthquakes.,,,
4,great pyramid of giza,Egypt,AF,Giza,"The Great Pyramid is the 3rd heaviest man-made object in the world. The heaviest is the Great Wall of China, followed by the Three Gorges Dam also in China.",,,
5,sydney opera house,Australia,OC,"Bennelong Point, Sydney","There was a competition held in 1956 to choose a design for the Opera House. Jørn Utzon from Denmark won, and it is his design still used today.",,,
6,statue of liberty,United States of America,NA,"Liberty Island, New York City",The Statue of Liberty is thought to have been struck up to 600 times by lightning.,,,
7,taj mahal,India,AS,"Agra, Uttar Pradesh","The color of the Taj Mahal keeps changing throughout the day, as the sun rises and falls. It appears pink in the morning, white at noon, and golden in moonlight.",,,
8,moai,Easter Island,SA,Eastern Polynesia,It is still unknown how the Rapa Nui people managed the remarkable feat of moving 14 ton statues across the island. Sometimes over several kilometers.,,,
9,machu picchu,Peru,SA,Andes Mountains,The stones used in Macchu Picchu construction were cut and fit together so precisely that a credit card can’t fit between them.,,,
10,christ the redeemer,Brazil,SA,Rio de Janeiro,Christ the Redeemer is the largest art deco-style sculpture in the world.,,,
11,petra,Jordan,AS,Ma’an Governorate,"Petra, aka ‘The Rose City’ is half-built, half-carved into solid rock. Petra literally means ‘rocks’.",,,
12,big ben,England,EU,"Palace of Westminster, London",The Keeper of the Clock is a person that keeps time and hand winds the clock three times a week.,,,
13,la sagrada familia,Spain,EU,Barcelona,Basilica of La Sagrada Familia has been under construction for more than a century.,,,
14,golden gate bridge,United States of America,NA,"San Francisco, California","The bridge once contained so many people that its curved arch flattened, lowering the bridge by 2.1 metres (7 feet).",,,
15,colosseum,Italy,EU,Rome,"The original name of the Colosseum was the Flavian Amphitheatre, named after the Flavian dynasty.",,,
16,brandenburg gate,Germany,EU,Berlin,"Damaged by bullets and explosions during World War II, only one statue from the original Quadriga survived. It was used as a model to recreate the entire ensemble.",,,
17,ha long bay,Vietnam,AS,Quảng Ninh province,Ha long means ‘descending dragon’.,,,
18,acropolis,Greece,EU,Athens,"Acropolis has been destroyed by Persians, early Christians, Franks, Ottomans, Venetians, Greeks and more. It has always been reconstructed",,,
19,burj khalifa,United Arab Emirates,AS,Dubai,"Burj Khalifa has 163 floors, all accessible by multiple elevators.",,,
20,the louvre,France,EU,Paris,The Louvre is the location that kick starts the mystery in Dan Brown’s The Da Vinci code.,,,
21,tsingy de bemaraha,Madagascar,AF,Antsalova District,Tsingy de Bemaraha is often referred to as the “Stone Forest” due to its extraordinary landscape of jagged limestone.,,,
22,uluru,Australia,OC,South-west of Alice Springs,"Uluru is taller than New York’s Chrysler building, and Paris’ Eiffel Tower.",,,
23,stonehenge,England,EU,"Salisbury Plain, Wiltshire","Stonehenge is huge (2,600 hectares). No sarsen stone of the size used in Stonehenge is available today.",,,
24,mount kilimanjaro,Tanzania,AF,Kilimanjaro Region,"'Mount’ Kilimanjaro is actually a dormant volcano that last erupted about 360,000 years ago.",,,
25,moai,Easter Island,SA,Eastern Polynesia,A typical moai statue is taller than two average height humans stacked on top of each other.,,,
26,machu picchu,Peru,SA,Andes Mountains,"This site has historically been notoriously difficult to find, protected by the mountain's altitude, difficult terrain, and the vegetation of the deep cloud forest.",,,
27,alhambra,Spain,EU,Granada,The Muslim Emirs built Alhambra (aka Red Fortress) to be a paradise on earth.,,,
28,bondi beach,Australia,OC,Bondi Beach,"If you ever visit Bondi Beach, swim within the designated areas, and keep an eye out for sharks! (They are not usually dangerous to humans)",,,
29,buckingham palace,England,EU,"Westminster, London",Teenager Edward Jones (popularly known as ‘the boy Jones’) somehow broke into this very important building thrice between 1838 and 1841.,,,
30,cn tower,Canada,NA,"Toronto, Ontario",The CN Tower's antenna is longer than a football field and is struck by lightning about 75 times a year.,,,
31,washington monument,United States of America,NA,"Washington, D.C.","The Washington Monument is nearly white on the bottom, a tannish-pink on the top with a thin belt of light brown in the middle.",,,
32,great barrier reef,Australia,OC,Off the east coast of the Queensland mainland,"The Great Barrier Reef is bigger than the United Kingdom, Switzerland and Holland combined.",,,
33,notre dame,France,EU,Paris,"The gargoyles aren't from medieval times; they're modern, added during the 19th century resoration of the cathedral.",,,
34,niagara falls,Canada,NA,Ontario/New York,"Niagara falls is actually made up of three waterfalls. Aptly named American Falls on the U.S. side, as well as lacy Bridal Veil Falls; the Horseshoe Falls are almost entirely on the Canadian side.",,,
35,mount everest,Nepal,AS,"Himalayas, China-Nepal border","Mount Everest grows approximately 44 millimetres every year, due to shifting tectonic plates.",,,
36,pompeii,Italy,EU,Metropolitan city of Naples,"The city of Pompeii is famous because it was destroyed in 79 CE when a nearby volcano, Mount Vesuvius, erupted.",,,
37,angkor wat,Cambodia,AS,"Siem Reap, Cambodia",Angkor Wat is the world’s largest religious monument.,,,
38,darvaza gas crater,Turkmenistan,AS,Darvaza,The aptly named ‘Door to Hell’ is a burning natural gas field collapsed into a cavern. It has been burning since the 1980s.,,,
39,saint marks basilica,Italy,EU,Venice,There’s a carved relief of the Virgin Mary with a gun in the left transept of the church.,,,
40,avenue of the baobabs,Madagascar,Africa,"Menabe, Madagascar",Baobab trees are giant. The baobabs were once part of a dense tropical forest and some of the trees are over 800 years old.,,,
